央视频道,#genre#
无线星河台,https://cdn6.163189.xyz/163189/tvbxh
星河台,https://o11.163189.xyz/stream/live/tvbxh/
翡翠一台,https://mytv.cdn.loc.cc/o12.php?id=fct
有线新闻,https://cdn.163189.xyz/163189/hoy78
Now新闻,https://cdn.163189.xyz/163189/now
Now新闻,http://cdn.163189.xyz/163189/now
HOY TV,https://cdn6.163189.xyz/163189/hoy
HOY TV,https://cdn.163189.xyz/163189/hoy
HOY 77,https://cdn6.163189.xyz/163189/hoy
HOY 77,http://cdn.163189.xyz/163189/hoy
HOY 77,http://r.jdshipin.com/sFw4S
HOY 78,http://cdn.163189.xyz/live/hoy/stream.m3u8
HOY 78,https://cdn.163189.xyz/163189/hoy78
ViuTV,https://smt.1678520.xyz/smt3.2.3.php?id=viu1_twn
ViuTV,https://cdn.163189.xyz/163189/viu
港台电视31,https://cdn.163189.xyz/163189/rthk31
港台电视32,https://cdn.163189.xyz/163189/rthk32
纬来电影台,https://smt.1678520.xyz/163189/602e9465658d4f8c
纬来戏剧台,https://smt.1678520.xyz/163189/ab657380c65c1fd1
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
千禧经典台,https://smt.1678520.xyz/smt3.2.3.php?id=Tvbclassic
千禧经典台,http://o11.163189.xyz/stream/live/tvbc/

澳门频道,#genre#
澳视澳门,https://cdn6.163189.xyz/163189/asam
澳视澳门,http://r.jdshipin.com/n2YZI
澳视澳门,http://cdn6.163189.xyz/163189/asam
澳视卫星,https://cdn6.163189.xyz/163189/as
澳视卫星,http://r.jdshipin.com/QFhCq
澳视卫星,http://cdn6.163189.xyz/163189/as
澳门体育,https://cdn6.163189.xyz/163189/amty
澳门体育,http://cdn6.163189.xyz/163189/amty
澳门综艺,https://cdn6.163189.xyz/163189/amzy
澳门综艺,http://cdn6.163189.xyz/163189/amzy
澳门莲花,https://cdn6.163189.xyz/163189/amlh
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
澳门莲花,http://cdn6.163189.xyz/163189/amlh

台湾频道,#genre#
公视,https://cdn12.178.indevs.in/163189/2973b910e7719c08
民视影剧台,https://cdn12.178.indevs.in/163189/73d93f1c22fa91d7
纬来戏剧台,https://smt.1678520.xyz/163189/ab657380c65c1fd1
纬来电影台,https://smt.1678520.xyz/163189/602e9465658d4f8c
龙华电影台,https://cdn8.163189.xyz/163189/lhdy
龙华电影台,http://cdn8.163189.xyz/163189/lhdy
龙华戏剧台,https://cdn8.163189.xyz/163189/lhxj
龙华戏剧台,http://cdn8.163189.xyz/163189/lhxj
龙华经典台,https://cdn8.163189.xyz/163189/lhjd
龙华经典台,http://cdn8.163189.xyz/163189/lhjd
龙华偶像台,https://cdn8.163189.xyz/163189/lhox
